player,team
Jess,Brazil
Jess,France
Jess,Japan
Jess,South Africa
Jess,Czechia
Jess,South Korea
Jess,Norway
Jess,Iraq
Jess,Panama
Jess,Congo DR
Jess,Tunisia
Jess,Uzbekistan
Li,Argentina
Li,Germany
Li,USA
Li,Ecuador
Li,Ivory Coast
Li,Curaçao
Li,Saudi Arabia
Li,Senegal
Li,Austria
Li,Jordan
Li,Mali
Li,Sweden
Sam,England
Sam,Spain
Sam,Mexico
Sam,Canada
Sam,Switzerland
Sam,Qatar
Sam,Bosnia & Herzegovina
Sam,Colombia
Sam,Portugal
Sam,Ghana
Sam,Croatia
Sam,Cape Verde
Josh,Morocco
Josh,Uruguay
Josh,Belgium
Josh,Netherlands
Josh,Italy
Josh,Australia
Josh,Türkiye
Josh,Paraguay
Josh,Scotland
Josh,Haiti
Josh,Egypt
Josh,Algeria
